id,code,web_name,chance_of_playing_next_round,now_cost,position
1,37605,Özil,0.0,67,MID
2,39476,Sokratis,0.0,48,DEF
3,41270,David Luiz,100.0,54,DEF
4,54694,Aubameyang,100.0,114,MID
5,58822,Cédric,100.0,46,DEF
6,59966,Lacazette,100.0,81,FWD
7,69140,Mustafi,0.0,50,DEF
8,80201,Leno,100.0,50,GKP
9,84450,Xhaka,100.0,52,MID
10,92371,Marí,100.0,44,DEF
11,98745,Bellerín,100.0,51,DEF
13,101184,Chambers,100.0,45,DEF
14,111457,Kolasinac,0.0,48,DEF
16,156074,Holding,100.0,44,DEF
17,192895,Tierney,100.0,52,DEF
18,195735,Pépé,100.0,76,MID
19,198849,Torreira,0.0,47,MID
21,200641,Nelson,100.0,51,MID
22,205533,Nketiah,100.0,54,FWD
23,209289,Smith Rowe,75.0,43,MID
24,223340,Saka,100.0,53,MID
25,242166,Guendouzi,0.0,47,MID
26,444145,Martinelli,100.0,49,MID
27,462424,Saliba,0.0,40,DEF
70,131897,Ryan,100.0,42,GKP
478,47431,Willian,100.0,75,MID
494,226597,Gabriel,100.0,49,DEF
501,182539,Ceballos,100.0,47,MID
526,153256,Elneny,100.0,42,MID
527,113534,Macey,0.0,40,GKP
547,115918,Rúnarsson,100.0,44,GKP
567,167199,Partey,100.0,49,MID
645,184029,Ødegaard,100.0,59,MID
12,98980,Martínez,100.0,54,GKP
28,21205,Heaton,100.0,45,GKP
29,37339,El Mohamady,100.0,43,DEF
30,40564,Lansbury,0.0,43,MID
31,47390,Taylor,100.0,42,DEF
32,79852,Steer,100.0,39,GKP
33,85242,Hourihane,0.0,59,MID
34,89274,Jota,0.0,59,MID
35,98770,Nyland,0.0,40,GKP
36,108156,Engels,100.0,44,DEF
37,114283,Grealish,25.0,75,MID
38,122806,McGinn,100.0,55,MID
39,123354,Hause,25.0,44,DEF
40,148508,Trézéguet,100.0,52,MID
41,149484,Mings,100.0,54,DEF
42,169359,Targett,100.0,50,DEF
43,184386,Bree,0.0,45,DEF
44,184704,Nakamba,100.0,43,MID
45,193488,El Ghazi,75.0,53,MID
46,199798,Konsa,100.0,46,DEF
47,203368,Guilbert,0.0,43,DEF
48,213345,Wesley,25.0,60,FWD
49,217487,Samatta,0.0,59,FWD
50,221239,Davis,100.0,43,FWD
51,223349,Vassilev,0.0,43,FWD
52,230046,Douglas Luiz,100.0,48,MID
106,88894,Barkley,100.0,59,MID
496,199796,Cash,25.0,50,DEF
514,178301,Watkins,100.0,66,FWD
540,110504,Traoré,100.0,59,MID
554,232653,Ramsey,100.0,45,MID
647,122775,Sanson,100.0,55,MID
671,465390,Hayden,100.0,45,MID
672,478912,Chukwuemeka,100.0,45,MID
683,481624,Philogene-Bidace,100.0,45,MID
53,20529,Murray,0.0,48,FWD
54,39155,Lallana,100.0,62,MID
57,60307,Groß,100.0,58,MID
58,61933,Duffy,0.0,43,DEF
59,66242,Pröpper,100.0,48,MID
60,74471,Mooy,0.0,50,MID
61,78916,Burn,100.0,42,DEF
62,83299,Dunk,100.0,49,DEF
63,86153,Montoya,0.0,45,DEF
64,93284,Andone,0.0,48,FWD
65,109345,March,0.0,50,MID
66,110735,Webster,0.0,43,DEF
67,111478,Veltman,100.0,43,DEF
68,115382,Maupay,100.0,61,FWD
69,116216,Trossard,100.0,57,MID
71,165210,Jahanbakhsh,100.0,54,MID
72,167473,Izquierdo,100.0,55,MID
73,178173,Clarke,0.0,44,DEF
74,198869,White,100.0,44,DEF
75,209362,Bernardo,0.0,39,DEF
76,227127,Bissouma,100.0,44,MID
77,232792,Lamptey,0.0,46,DEF
78,233425,Connolly,75.0,52,FWD
79,235382,Alzate,100.0,42,MID
80,243016,Mac Allister,100.0,53,MID
503,108813,Walton,100.0,40,GKP
528,49262,Steele,100.0,39,GKP
550,220738,Molumby,0.0,45,MID
574,204676,Zeqiri,100.0,50,FWD
588,50175,Welbeck,100.0,55,FWD
597,215059,Sánchez,100.0,45,GKP
627,230127,Tau,100.0,50,MID
628,243505,Moder,100.0,50,MID
630,465572,Khadra,100.0,45,MID
631,244848,Jenks,100.0,45,MID
632,215062,Sanders,0.0,45,MID
633,440241,Weir,100.0,45,MID
662,209288,McGill,100.0,39,GKP
663,442229,Karbownik,100.0,45,DEF
664,486672,Caicedo,100.0,50,MID
55,40845,Stephens,100.0,42,MID
81,17761,Tarkowski,100.0,53,DEF
82,17997,Bardsley,100.0,44,DEF
83,39487,Pieters,100.0,43,DEF
84,40145,Cork,75.0,50,MID
85,41674,Long,100.0,43,DEF
86,44683,Rodriguez,100.0,58,FWD
87,44699,Barnes,25.0,60,FWD
88,51927,Mee,100.0,50,DEF
89,60551,Westwood,100.0,53,MID
90,60586,Gudmundsson,100.0,54,MID
91,60689,Wood,100.0,62,FWD
92,68983,Lowton,100.0,45,DEF
93,81183,Vydra,100.0,48,FWD
94,83312,Gibson,0.0,39,DEF
95,90517,Brady,100.0,50,MID
96,98747,Pope,100.0,56,GKP
97,103914,Taylor,75.0,44,DEF
98,172782,Brownhill,100.0,49,MID
99,220037,Peacock-Farrell,100.0,40,GKP
100,433154,McNeil,100.0,57,MID
519,218023,Dunne,100.0,38,DEF
520,461102,Thomas,0.0,39,DEF
535,217401,Benson,100.0,45,MID
536,195471,Driscoll-Glennon,100.0,40,DEF
551,195064,Goodridge,0.0,45,MID
583,168399,Norris,100.0,40,GKP
591,461450,Thompson,100.0,45,FWD
592,461096,Richardson,100.0,45,FWD
612,465299,Mancini,100.0,44,MID
613,430367,Mumbongo,100.0,45,FWD
658,184259,Nartey,100.0,40,DEF
101,20310,Caballero,100.0,46,GKP
102,41328,Azpilicueta,100.0,57,DEF
103,44346,Giroud,100.0,67,FWD
104,82263,Alonso,100.0,57,DEF
105,85955,Jorginho,100.0,47,MID
107,91651,Kovacic,100.0,53,MID
109,102380,Rüdiger,100.0,46,DEF
110,103192,Zouma,100.0,54,DEF
111,109533,Emerson,100.0,47,DEF
112,109745,Arrizabalaga,100.0,47,GKP
113,116594,Kanté,100.0,49,MID
114,124183,Ziyech,100.0,79,MID
116,135363,Christensen,100.0,47,DEF
117,165153,Werner,100.0,92,FWD
118,173879,Abraham,75.0,71,FWD
119,176413,Pulisic,100.0,82,MID
120,184341,Mount,100.0,70,MID
121,194794,Tomori,0.0,47,DEF
122,209046,Hudson-Odoi,100.0,57,MID
123,225796,James,100.0,50,DEF
124,243568,Gilmour,100.0,44,MID
232,172850,Chilwell,100.0,58,DEF
490,51090,Thiago Silva,50.0,56,DEF
500,219847,Havertz,100.0,82,MID
548,228286,Mendy,100.0,51,GKP
593,431019,Ziger,100.0,40,GKP
605,223332,Anjorin,100.0,45,MID
