element,kickoff_time,fixture,opponent_team,total_points,was_home,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,opponent,opponent_short,position_short,team,team_short,first_name,last_name,web_name,selected_by_percent,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,chance_playing_tr,chance_playing_nx,news,form,round_points,shots,xG,time,position,date,xA,key_passes,npg,npxG,xGChain,xGBuildup,player_id,code
254,2020-09-12,3,10,20,True,4.0,3.0,1,90,3,0,0,3,0,0,0,0,0,0,3,69,117.2,50.1,161.0,32.8,12.0,0,1883241,0,0,Leeds,LEE,MID,Liverpool,LIV,Mohamed,Salah,Salah,28.8,0.0,2.0,2.0,100.0,100.0,,2.4,0,9,1.939826726913452,90,FWR,2020-09-12,0.232542872428894,4,1,0.41748908162117,0.7550051212310791,0.2254402041435241,1250.0,118748
254,2020-09-20,11,5,3,False,0.0,2.0,2,90,0,0,1,0,0,0,0,0,0,0,0,14,15.4,61.5,51.0,12.8,12.0,156301,2378499,311338,155037,Chelsea,CHE,MID,Liverpool,LIV,Mohamed,Salah,Salah,28.8,0.0,2.0,2.0,100.0,100.0,,2.4,0,4,0.2213221043348312,90,FWR,2020-09-20,0.2326114177703857,5,0,0.2213221043348312,0.744396448135376,0.3394758105278015,1250.0,118748
254,2020-09-28,23,1,5,True,3.0,1.0,3,90,0,1,0,1,0,0,0,0,0,0,0,18,7.0,27.3,44.0,7.8,12.1,95854,2576134,232019,136165,Arsenal,ARS,MID,Liverpool,LIV,Mohamed,Salah,Salah,28.8,0.0,2.0,2.0,100.0,100.0,,2.4,0,4,0.2180656492710113,90,FWR,2020-09-28,0.3763395249843597,2,0,0.2180656492710113,0.5897422432899475,0.4118627607822418,1250.0,118748
254,2020-10-04,30,2,13,False,7.0,2.0,4,90,2,0,0,7,0,0,0,0,0,0,1,54,78.2,41.8,44.0,16.4,12.2,279768,2941545,343946,64178,Aston Villa,AVL,MID,Liverpool,LIV,Mohamed,Salah,Salah,28.8,0.0,2.0,2.0,100.0,100.0,,2.4,0,2,0.5826098322868347,90,FWR,2020-10-04,0.6701305508613586,3,2,0.5826098322868347,1.5003221035003662,0.2475816905498504,1250.0,118748
254,2020-10-17,41,7,7,False,2.0,2.0,5,90,1,0,0,2,0,0,0,0,0,0,0,24,48.4,20.2,96.0,16.5,12.3,330864,3337859,392085,61221,Everton,EVE,MID,Liverpool,LIV,Mohamed,Salah,Salah,28.8,0.0,2.0,2.0,100.0,100.0,,2.4,0,6,0.3813213109970093,90,FWR,2020-10-17,0.3238884508609772,1,1,0.3813213109970093,1.4139132499694824,0.832698404788971,1250.0,118748
254,2020-10-24,54,15,2,True,2.0,1.0,6,90,0,0,0,1,0,0,0,0,0,0,0,-2,8.2,27.2,62.0,9.7,12.3,138491,3490524,191448,52957,Sheffield Utd,SHU,MID,Liverpool,LIV,Mohamed,Salah,Salah,28.8,0.0,2.0,2.0,100.0,100.0,,2.4,0,4,0.8926401138305664,90,FW,2020-10-24,0.086655244231224,2,0,0.8926401138305664,1.260826587677002,0.3096321523189544,1250.0,118748
254,2020-10-31,63,19,8,True,2.0,1.0,7,89,1,0,0,1,0,0,0,0,0,0,1,23,35.0,16.6,58.0,11.0,12.4,-8171,3491118,75003,83174,West Ham,WHU,MID,Liverpool,LIV,Mohamed,Salah,Salah,28.8,0.0,2.0,2.0,100.0,100.0,,2.4,0,3,0.9047225713729858,90,FWR,2020-10-31,0.0236137248575687,1,0,0.1435537338256836,0.4600676596164703,0.3892663419246673,1250.0,118748
254,2020-11-08,75,12,9,False,1.0,1.0,8,90,1,0,0,1,0,0,0,0,0,0,2,20,40.4,38.0,35.0,11.3,12.4,-21187,3473894,58253,79440,Man City,MCI,MID,Liverpool,LIV,Mohamed,Salah,Salah,28.8,0.0,2.0,2.0,100.0,100.0,,2.4,0,2,0.7990095615386963,90,FW,2020-11-08,0.0893053784966468,3,0,0.037840723991394,0.1271461099386215,0.0,1250.0,118748
254,2020-11-22,83,9,0,True,3.0,0.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,12.3,-1347561,2049762,47839,1395400,Leicester,LEI,MID,Liverpool,LIV,Mohamed,Salah,Salah,28.8,0.0,2.0,2.0,100.0,100.0,,2.4,0,0,0.0,0,Not selected,2020-11-22,0.0,0,0,0.0,0.0,0.0,999999.0,118748
254,2020-11-28,90,3,6,False,1.0,1.0,10,63,0,1,1,0,0,0,0,0,0,0,0,11,15.4,14.4,4.0,3.4,12.2,56393,2222608,211556,155163,Brighton,BHA,MID,Liverpool,LIV,Mohamed,Salah,Salah,28.8,0.0,2.0,2.0,100.0,100.0,,2.4,0,1,0.0774376168847084,66,FWR,2020-11-28,0.0795178711414337,1,0,0.0774376168847084,0.18278568983078,0.025830203667283,1250.0,118748
